Failure_Event_ID,Device_ID,Failure_Type,Failure_Start,Failure_Peak,Failure_Resolved,Failure_Severity
EVT-000001,DEV-0020,THERMAL,2026-01-05 01:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000002,DEV-0020,THERMAL,2026-01-05 02:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000003,DEV-0020,THERMAL,2026-01-05 03:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000004,DEV-0044,INTERFACE,2026-01-05 02:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000005,DEV-0044,INTERFACE,2026-01-05 03:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000006,DEV-0061,THERMAL,2026-01-05 03:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000007,DEV-0080,INTERFACE,2026-01-05 02:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000008,DEV-0080,INTERFACE,2026-01-05 03:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000009,DEV-0085,CONGESTION,2026-01-05 01:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000010,DEV-0085,CONGESTION,2026-01-05 02:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000011,DEV-0085,CONGESTION,2026-01-05 03:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000012,DEV-0099,INTERFACE,2026-01-05 03:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000013,DEV-0108,CONGESTION,2026-01-05 03:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000014,DEV-0155,CONGESTION,2026-01-05 02:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000015,DEV-0155,CONGESTION,2026-01-05 03:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000016,DEV-0161,CONGESTION,2026-01-05 00:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000017,DEV-0161,CONGESTION,2026-01-05 01:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000018,DEV-0161,CONGESTION,2026-01-05 02:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000019,DEV-0161,CONGESTION,2026-01-05 03:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000020,DEV-0163,CONGESTION,2026-01-05 00:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000021,DEV-0163,CONGESTION,2026-01-05 01:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000022,DEV-0163,CONGESTION,2026-01-05 02:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000023,DEV-0163,CONGESTION,2026-01-05 03:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000024,DEV-0192,HARDWARE,2026-01-05 03:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000025,DEV-0193,INTERFACE,2026-01-05 03:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000026,DEV-0211,CONGESTION,2026-01-05 02:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000027,DEV-0211,CONGESTION,2026-01-05 03:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000028,DEV-0219,THERMAL,2026-01-05 03:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000029,DEV-0224,CONGESTION,2026-01-04 23:00:00,2026-01-05 02:00:00,,CRITICAL
EVT-000030,DEV-0224,CONGESTION,2026-01-05 00:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000031,DEV-0224,CONGESTION,2026-01-05 01:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000032,DEV-0224,CONGESTION,2026-01-05 02:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000033,DEV-0224,CONGESTION,2026-01-05 03:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000034,DEV-0260,INTERFACE,2026-01-05 03:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000035,DEV-0289,MEMORY,2026-01-05 00:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000036,DEV-0289,MEMORY,2026-01-05 01:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000037,DEV-0289,MEMORY,2026-01-05 02:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000038,DEV-0289,MEMORY,2026-01-05 03:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000039,DEV-0294,CONGESTION,2026-01-05 03:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000040,DEV-0304,THERMAL,2026-01-05 02:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000041,DEV-0304,THERMAL,2026-01-05 03:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000042,DEV-0306,MEMORY,2026-01-05 02:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000043,DEV-0306,MEMORY,2026-01-05 03:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000044,DEV-0308,MEMORY,2026-01-04 23:00:00,2026-01-05 02:00:00,,CRITICAL
EVT-000045,DEV-0308,MEMORY,2026-01-05 01:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000046,DEV-0308,MEMORY,2026-01-05 02:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000047,DEV-0308,MEMORY,2026-01-05 03:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000048,DEV-0319,THERMAL,2026-01-05 01:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000049,DEV-0319,THERMAL,2026-01-05 02:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000050,DEV-0319,THERMAL,2026-01-05 03:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000051,DEV-0326,INTERFACE,2026-01-05 03:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000052,DEV-0331,HARDWARE,2026-01-05 01:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000053,DEV-0331,HARDWARE,2026-01-05 02:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000054,DEV-0331,HARDWARE,2026-01-05 03:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000055,DEV-0334,HARDWARE,2026-01-05 02:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000056,DEV-0334,HARDWARE,2026-01-05 03:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000057,DEV-0342,CONGESTION,2026-01-05 03:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000058,DEV-0361,HARDWARE,2026-01-05 03:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000059,DEV-0369,CONGESTION,2026-01-05 01:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000060,DEV-0369,CONGESTION,2026-01-05 03:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000061,DEV-0410,INTERFACE,2026-01-05 01:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000062,DEV-0410,INTERFACE,2026-01-05 02:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000063,DEV-0410,INTERFACE,2026-01-05 03:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000064,DEV-0482,CONGESTION,2026-01-05 02:00:00,2026-01-05 03:00:00,,CRITICAL
EVT-000065,DEV-0482,CONGESTION,2026-01-05 03:00:00,2026-01-05 03:00:00,,CRITICAL
