Device_ID,Hostname,IP_Address,Device_Type,Vendor,Model,Location,Rack,Firmware
DEV-0001,firewall-0001,10.1.1.10,ACCESS_SWITCH,HPE,Aruba-8320,BRANCH-B,R21,17.9.4
DEV-0002,access-switch-0002,10.1.2.10,ACCESS_SWITCH,Arista,7280R,BRANCH-B,R04,20.4R3
DEV-0003,distribution-switch-0003,10.1.3.10,ROUTER,Dell,N3248,BRANCH-C,R02,4.28.6M
DEV-0004,core-switch-0004,10.1.4.10,ROUTER,Dell,N3248,BRANCH-C,R29,4.28.6M
DEV-0005,core-switch-0005,10.1.5.10,ACCESS_SWITCH,Cisco,Catalyst-9300,DC-2,R28,4.28.6M
DEV-0006,router-0006,10.1.6.10,ROUTER,Arista,7280R,DC-1,R03,10.2.1
DEV-0007,firewall-0007,10.1.7.10,CORE_SWITCH,Arista,7050X3,DC-2,R04,16.12.6
DEV-0008,distribution-switch-0008,10.1.8.10,DISTRIBUTION_SWITCH,HPE,Aruba-6300,DC-2,R21,17.9.4
DEV-0009,router-0009,10.1.9.10,ROUTER,HPE,Aruba-6300,BRANCH-A,R29,20.4R3
DEV-0010,router-0010,10.1.10.10,DISTRIBUTION_SWITCH,Cisco,ISR-4331,BRANCH-A,R02,17.9.4
DEV-0011,firewall-0011,10.1.11.10,DISTRIBUTION_SWITCH,HPE,Aruba-8320,BRANCH-A,R02,17.9.4
DEV-0012,router-0012,10.1.12.10,CORE_SWITCH,HPE,Aruba-8320,BRANCH-B,R16,10.2.1
DEV-0013,firewall-0013,10.1.13.10,DISTRIBUTION_SWITCH,Juniper,EX3400,BRANCH-A,R28,4.28.6M
DEV-0014,core-switch-0014,10.1.14.10,FIREWALL,Dell,S5248F,BRANCH-B,R01,16.12.6
DEV-0015,core-switch-0015,10.1.15.10,ROUTER,Cisco,ISR-4331,HQ,R19,16.12.6
DEV-0016,access-switch-0016,10.1.16.10,CORE_SWITCH,Arista,7050X3,BRANCH-B,R10,17.9.4
DEV-0017,router-0017,10.1.17.10,CORE_SWITCH,Cisco,ISR-4331,BRANCH-A,R02,16.12.6
DEV-0018,access-switch-0018,10.1.18.10,ROUTER,Dell,N3248,BRANCH-C,R27,20.4R3
DEV-0019,access-switch-0019,10.1.19.10,FIREWALL,Cisco,Catalyst-9300,BRANCH-C,R03,16.12.6
DEV-0020,distribution-switch-0020,10.1.20.10,ACCESS_SWITCH,Dell,S5248F,DC-2,R10,4.28.6M
DEV-0021,access-switch-0021,10.1.21.10,CORE_SWITCH,Dell,N3248,BRANCH-B,R04,10.2.1
DEV-0022,access-switch-0022,10.1.22.10,FIREWALL,Dell,N3248,BRANCH-B,R07,20.4R3
DEV-0023,router-0023,10.1.23.10,DISTRIBUTION_SWITCH,Arista,7280R,BRANCH-B,R30,16.12.6
DEV-0024,router-0024,10.1.24.10,ROUTER,Dell,N3248,BRANCH-A,R20,20.4R3
DEV-0025,router-0025,10.1.25.10,CORE_SWITCH,Juniper,EX3400,BRANCH-C,R01,16.12.6
DEV-0026,access-switch-0026,10.1.26.10,CORE_SWITCH,Cisco,ISR-4331,BRANCH-B,R09,20.4R3
DEV-0027,core-switch-0027,10.1.27.10,FIREWALL,Arista,7050X3,HQ,R10,4.28.6M
DEV-0028,core-switch-0028,10.1.28.10,ROUTER,Arista,7050X3,BRANCH-C,R17,17.9.4
DEV-0029,router-0029,10.1.29.10,DISTRIBUTION_SWITCH,HPE,Aruba-6300,DC-1,R05,16.12.6
DEV-0030,access-switch-0030,10.1.30.10,CORE_SWITCH,Cisco,ISR-4331,DC-2,R28,10.2.1
DEV-0031,core-switch-0031,10.1.31.10,ACCESS_SWITCH,Cisco,ISR-4331,DC-2,R21,4.28.6M
DEV-0032,router-0032,10.1.32.10,ACCESS_SWITCH,Juniper,MX204,HQ,R17,10.2.1
DEV-0033,distribution-switch-0033,10.1.33.10,ACCESS_SWITCH,HPE,Aruba-6300,DC-1,R09,4.28.6M
DEV-0034,firewall-0034,10.1.34.10,ACCESS_SWITCH,Arista,7280R,BRANCH-A,R27,4.28.6M
DEV-0035,distribution-switch-0035,10.1.35.10,ACCESS_SWITCH,Arista,7050X3,HQ,R20,4.28.6M
DEV-0036,core-switch-0036,10.1.36.10,DISTRIBUTION_SWITCH,Cisco,ISR-4331,DC-1,R11,4.28.6M
DEV-0037,core-switch-0037,10.1.37.10,DISTRIBUTION_SWITCH,Cisco,Catalyst-9300,BRANCH-C,R10,20.4R3
DEV-0038,distribution-switch-0038,10.1.38.10,CORE_SWITCH,HPE,Aruba-8320,BRANCH-A,R17,17.9.4
DEV-0039,router-0039,10.1.39.10,FIREWALL,Cisco,Catalyst-9300,HQ,R23,16.12.6
DEV-0040,access-switch-0040,10.1.40.10,ACCESS_SWITCH,Cisco,ISR-4331,HQ,R20,16.12.6
DEV-0041,access-switch-0041,10.1.41.10,CORE_SWITCH,HPE,Aruba-8320,BRANCH-A,R06,4.28.6M
DEV-0042,core-switch-0042,10.1.42.10,ACCESS_SWITCH,Arista,7050X3,BRANCH-B,R18,17.9.4
DEV-0043,access-switch-0043,10.1.43.10,FIREWALL,Juniper,EX3400,BRANCH-A,R01,4.28.6M
DEV-0044,firewall-0044,10.1.44.10,ROUTER,Cisco,ISR-4331,HQ,R17,16.12.6
DEV-0045,access-switch-0045,10.1.45.10,ACCESS_SWITCH,HPE,Aruba-8320,BRANCH-C,R14,10.2.1
DEV-0046,access-switch-0046,10.1.46.10,ACCESS_SWITCH,Arista,7280R,BRANCH-B,R30,16.12.6
DEV-0047,core-switch-0047,10.1.47.10,FIREWALL,HPE,Aruba-8320,BRANCH-B,R16,20.4R3
DEV-0048,access-switch-0048,10.1.48.10,CORE_SWITCH,HPE,Aruba-8320,DC-1,R12,4.28.6M
DEV-0049,firewall-0049,10.1.49.10,ACCESS_SWITCH,Dell,N3248,DC-1,R05,10.2.1
DEV-0050,firewall-0050,10.1.50.10,ACCESS_SWITCH,Cisco,ISR-4331,DC-1,R20,10.2.1
DEV-0051,core-switch-0051,10.1.51.10,ACCESS_SWITCH,Dell,N3248,DC-2,R25,17.9.4
DEV-0052,access-switch-0052,10.1.52.10,DISTRIBUTION_SWITCH,Juniper,MX204,BRANCH-C,R23,17.9.4
DEV-0053,distribution-switch-0053,10.1.53.10,DISTRIBUTION_SWITCH,Arista,7280R,DC-1,R08,16.12.6
DEV-0054,access-switch-0054,10.1.54.10,FIREWALL,Cisco,ISR-4331,DC-2,R03,17.9.4
DEV-0055,firewall-0055,10.1.55.10,ROUTER,Cisco,ISR-4331,DC-1,R04,10.2.1
DEV-0056,core-switch-0056,10.1.56.10,ROUTER,HPE,Aruba-6300,BRANCH-A,R02,17.9.4
DEV-0057,core-switch-0057,10.1.57.10,DISTRIBUTION_SWITCH,Arista,7050X3,BRANCH-C,R29,17.9.4
DEV-0058,core-switch-0058,10.1.58.10,ROUTER,Juniper,MX204,BRANCH-C,R15,20.4R3
DEV-0059,firewall-0059,10.1.59.10,CORE_SWITCH,HPE,Aruba-8320,BRANCH-B,R28,4.28.6M
DEV-0060,firewall-0060,10.1.60.10,ROUTER,HPE,Aruba-8320,BRANCH-B,R20,20.4R3
DEV-0061,firewall-0061,10.1.61.10,DISTRIBUTION_SWITCH,HPE,Aruba-8320,DC-2,R30,20.4R3
DEV-0062,access-switch-0062,10.1.62.10,ROUTER,Cisco,ISR-4331,DC-2,R05,17.9.4
DEV-0063,core-switch-0063,10.1.63.10,ROUTER,Dell,S5248F,DC-1,R26,17.9.4
DEV-0064,distribution-switch-0064,10.1.64.10,CORE_SWITCH,Cisco,ISR-4331,BRANCH-B,R21,16.12.6
DEV-0065,firewall-0065,10.1.65.10,FIREWALL,Dell,S5248F,HQ,R12,17.9.4
DEV-0066,firewall-0066,10.1.66.10,CORE_SWITCH,Arista,7050X3,BRANCH-C,R28,10.2.1
DEV-0067,router-0067,10.1.67.10,FIREWALL,Cisco,ISR-4331,DC-2,R26,10.2.1
DEV-0068,core-switch-0068,10.1.68.10,FIREWALL,HPE,Aruba-6300,DC-2,R10,10.2.1
DEV-0069,distribution-switch-0069,10.1.69.10,ROUTER,HPE,Aruba-6300,DC-2,R26,20.4R3
DEV-0070,core-switch-0070,10.1.70.10,FIREWALL,Juniper,EX3400,BRANCH-A,R16,17.9.4
DEV-0071,router-0071,10.1.71.10,ACCESS_SWITCH,Cisco,ISR-4331,BRANCH-A,R18,20.4R3
DEV-0072,core-switch-0072,10.1.72.10,CORE_SWITCH,HPE,Aruba-6300,HQ,R11,10.2.1
DEV-0073,access-switch-0073,10.1.73.10,CORE_SWITCH,HPE,Aruba-6300,DC-2,R11,4.28.6M
DEV-0074,firewall-0074,10.1.74.10,ROUTER,Dell,S5248F,BRANCH-C,R02,10.2.1
DEV-0075,distribution-switch-0075,10.1.75.10,ACCESS_SWITCH,Arista,7050X3,DC-1,R26,10.2.1
DEV-0076,distribution-switch-0076,10.1.76.10,DISTRIBUTION_SWITCH,Juniper,MX204,DC-2,R19,16.12.6
DEV-0077,distribution-switch-0077,10.1.77.10,FIREWALL,HPE,Aruba-8320,BRANCH-B,R11,10.2.1
DEV-0078,core-switch-0078,10.1.78.10,FIREWALL,HPE,Aruba-6300,DC-1,R04,17.9.4
DEV-0079,core-switch-0079,10.1.79.10,ACCESS_SWITCH,Dell,S5248F,HQ,R16,4.28.6M
DEV-0080,core-switch-0080,10.1.80.10,FIREWALL,Juniper,MX204,DC-1,R23,10.2.1
