Source_Device_ID,Target_Device_ID,Relationship,Network_Segment
DEV-0001,,ROOT,DMZ
DEV-0002,DEV-0001,UPLINK,DMZ
DEV-0003,DEV-0002,UPLINK,DMZ
DEV-0004,DEV-0001,UPLINK,USER
DEV-0005,DEV-0004,UPLINK,SERVER
DEV-0006,DEV-0001,UPLINK,DMZ
DEV-0007,DEV-0006,UPLINK,CORE
DEV-0008,DEV-0002,UPLINK,SERVER
DEV-0009,DEV-0001,UPLINK,DMZ
DEV-0010,DEV-0001,UPLINK,BRANCH
DEV-0011,DEV-0005,UPLINK,DMZ
DEV-0012,DEV-0007,UPLINK,USER
DEV-0013,DEV-0006,UPLINK,USER
DEV-0014,DEV-0002,UPLINK,SERVER
DEV-0015,DEV-0011,UPLINK,BRANCH
DEV-0016,DEV-0014,UPLINK,USER
DEV-0017,DEV-0014,UPLINK,DMZ
DEV-0018,DEV-0003,UPLINK,BRANCH
DEV-0019,DEV-0007,UPLINK,BRANCH
DEV-0020,DEV-0015,UPLINK,BRANCH
DEV-0021,DEV-0015,UPLINK,DMZ
DEV-0022,DEV-0015,UPLINK,BRANCH
DEV-0023,DEV-0003,UPLINK,SERVER
DEV-0024,DEV-0009,UPLINK,CORE
DEV-0025,DEV-0001,UPLINK,BRANCH
DEV-0026,DEV-0013,UPLINK,USER
DEV-0027,DEV-0014,UPLINK,USER
DEV-0028,DEV-0006,UPLINK,CORE
DEV-0029,DEV-0011,UPLINK,CORE
DEV-0030,DEV-0008,UPLINK,USER
DEV-0031,DEV-0013,UPLINK,USER
DEV-0032,DEV-0014,UPLINK,SERVER
DEV-0033,DEV-0008,UPLINK,SERVER
DEV-0034,DEV-0002,UPLINK,DMZ
DEV-0035,DEV-0014,UPLINK,USER
DEV-0036,DEV-0002,UPLINK,CORE
DEV-0037,DEV-0009,UPLINK,DMZ
DEV-0038,DEV-0002,UPLINK,USER
DEV-0039,DEV-0001,UPLINK,USER
DEV-0040,DEV-0009,UPLINK,BRANCH
DEV-0041,DEV-0014,UPLINK,CORE
DEV-0042,DEV-0005,UPLINK,USER
DEV-0043,DEV-0003,UPLINK,SERVER
DEV-0044,DEV-0012,UPLINK,USER
DEV-0045,DEV-0019,UPLINK,CORE
DEV-0046,DEV-0013,UPLINK,BRANCH
DEV-0047,DEV-0007,UPLINK,CORE
DEV-0048,DEV-0008,UPLINK,CORE
DEV-0049,DEV-0016,UPLINK,SERVER
DEV-0050,DEV-0013,UPLINK,CORE
DEV-0051,DEV-0016,UPLINK,CORE
DEV-0052,DEV-0017,UPLINK,CORE
DEV-0053,DEV-0014,UPLINK,SERVER
DEV-0054,DEV-0007,UPLINK,BRANCH
DEV-0055,DEV-0016,UPLINK,BRANCH
DEV-0056,DEV-0013,UPLINK,SERVER
DEV-0057,DEV-0020,UPLINK,BRANCH
DEV-0058,DEV-0017,UPLINK,DMZ
DEV-0059,DEV-0018,UPLINK,SERVER
DEV-0060,DEV-0014,UPLINK,SERVER
DEV-0061,DEV-0015,UPLINK,DMZ
DEV-0062,DEV-0019,UPLINK,USER
DEV-0063,DEV-0006,UPLINK,SERVER
DEV-0064,DEV-0009,UPLINK,BRANCH
DEV-0065,DEV-0014,UPLINK,DMZ
DEV-0066,DEV-0004,UPLINK,SERVER
DEV-0067,DEV-0020,UPLINK,USER
DEV-0068,DEV-0004,UPLINK,DMZ
DEV-0069,DEV-0014,UPLINK,SERVER
DEV-0070,DEV-0004,UPLINK,CORE
DEV-0071,DEV-0014,UPLINK,SERVER
DEV-0072,DEV-0012,UPLINK,USER
DEV-0073,DEV-0018,UPLINK,DMZ
DEV-0074,DEV-0004,UPLINK,BRANCH
DEV-0075,DEV-0020,UPLINK,DMZ
DEV-0076,DEV-0009,UPLINK,USER
