Device_ID,Timestamp,Hostname,IP_Address,Device_Type,Vendor,Model,Location,Rack,Firmware,CPU_Usage,Memory_Usage,Temperature,Uptime,Interface_Errors,Packet_Loss,Bandwidth_Usage,Log_Errors,Syslog_Critical_Count,Latest_Syslog,Latent_Health_State,Failure_Type,Failed,CPU_5step_avg,CPU_Trend,CPU_Spike,Memory_Trend,Temperature_5step_avg,Temperature_Trend,Temperature_Spike,Error_Trend,Error_Spike,PacketLoss_Trend
DEV-00001,2026-01-01 19:00:00,ROU-HYD-001,10.10.21.103,Router,Juniper,MX204,Hyderabad DC-1,Rack H08,17.9.2a,19.9,28.97,29.02,134.07,13,0.58,74.6,7,0,NORMAL_OPERATIONAL_STATE,100.0,NONE,0,20.857999999999997,-2.6400000000000006,0,0.09999999999999787,27.862000000000002,0.6499999999999986,0,1.0,1,-0.08000000000000007
DEV-00002,2026-01-01 19:00:00,SWI-HYD-002,10.10.236.89,Switch,Arista,7050SX3,Hyderabad DC-1,Rack H08,17.6.4,20.14,21.86,44.9,425.41,13,0.68,15.22,7,0,NORMAL_OPERATIONAL_STATE,100.0,NONE,0,19.958000000000002,-1.7899999999999991,0,-2.3000000000000007,43.510000000000005,2.4499999999999957,0,4.0,0,-0.20999999999999996
DEV-00003,2026-01-01 19:00:00,ROU-MUM-003,10.10.14.242,Router,Cisco,ISR-4331,Mumbai Edge,Rack E03,17.9.2a,13.44,43.21,39.27,251.48,8,0.34,14.54,3,0,NORMAL_OPERATIONAL_STATE,100.0,NONE,0,14.984,1.7799999999999994,0,3.8599999999999994,39.576,0.6400000000000006,0,1.0,0,0.12000000000000002
DEV-00004,2026-01-01 19:00:00,SWI-CHE-004,10.10.4.54,Switch,Arista,7050SX3,Chennai DC-1,Rack B04,17.6.4,25.75,39.18,43.0,776.81,10,0.16,14.42,4,0,NORMAL_OPERATIONAL_STATE,100.0,NONE,0,27.607999999999997,-6.079999999999998,0,-4.369999999999997,42.412,0.6499999999999986,0,4.0,0,0.16
DEV-00005,2026-01-01 19:00:00,ROU-CHE-005,10.10.217.252,Router,Cisco,ISR-4331,Chennai DC-1,Rack B04,4.28.2F,24.45,41.82,23.21,439.56,13,0.62,62.0,6,0,NORMAL_OPERATIONAL_STATE,100.0,NONE,0,21.354,5.259999999999998,0,1.6499999999999986,24.008000000000003,-2.509999999999998,0,2.0,1,-0.20999999999999996
DEV-00006,2026-01-01 19:00:00,ROU-CHE-006,10.10.72.12,Router,Juniper,MX204,Chennai DC-1,Rack A01,17.9.2a,14.77,43.62,38.09,86.21,6,0.87,59.2,12,0,NORMAL_OPERATIONAL_STATE,100.0,NONE,0,14.669999999999998,0.35999999999999943,0,-0.060000000000002274,39.666000000000004,-2.759999999999998,0,2.0,0,0.37
DEV-00007,2026-01-01 19:00:00,ROU-CHE-007,10.10.42.124,Router,Juniper,MX204,Chennai DC-1,Rack B04,17.6.4,31.88,31.42,42.98,170.19,7,0.65,46.48,4,0,NORMAL_OPERATIONAL_STATE,100.0,NONE,0,33.30800000000001,-0.6400000000000041,0,-0.9799999999999969,43.122,-0.05000000000000426,0,0.0,0,0.29000000000000004
DEV-00008,2026-01-01 19:00:00,SWI-MUM-008,10.10.66.170,Switch,Juniper,EX4300,Mumbai Edge,Rack E03,17.6.4,19.92,27.45,29.52,244.38,16,0.32,49.05,7,0,NORMAL_OPERATIONAL_STATE,100.0,NONE,0,16.008000000000003,6.120000000000001,0,-3.370000000000001,31.704,-4.300000000000001,0,5.0,1,0.3
DEV-00009,2026-01-01 19:00:00,SWI-CHE-009,10.10.3.103,Switch,Cisco,Catalyst-9300,Chennai DC-1,Rack A01,17.9.2a,24.11,21.02,29.71,414.32,11,0.51,37.98,4,0,NORMAL_OPERATIONAL_STATE,100.0,NONE,0,24.028,1.9399999999999977,0,-1.6000000000000014,29.73,1.3300000000000018,0,4.0,0,0.09000000000000002
DEV-00010,2026-01-01 19:00:00,SWI-CHE-010,10.10.131.113,Switch,Arista,7050SX3,Chennai DC-1,Rack B04,17.6.4,19.81,48.5,31.49,235.86,12,0.09,48.5,5,0,NORMAL_OPERATIONAL_STATE,100.0,NONE,0,18.3,0.13999999999999702,0,2.0700000000000003,31.848000000000003,-0.26000000000000156,0,1.0,1,0.09
